Wavelength (nm), Throughput (Ry/ADU), Throughput Uncertainty (Ry/ADU)
570.0,-5523.1440915070925,35649.500403119535
575.0,-172604.69806149512,23928601.613659486
580.0,1357.0434657098199,1205.0170748479618
585.0,553.2590081309719,175.83028132799967
590.0,197.7043741270711,20.61793030443092
595.0,82.21130369112541,3.388160593525795
600.0,42.73767350260942,0.901661235390283
605.0,26.28977270280195,0.35814120145345
610.0,19.078831565802805,0.20281360434733275
615.0,15.49430531850529,0.14299271003693537
620.0,13.657920070075214,0.11441002824451887
625.0,12.598318234080986,0.10043189721072307
630.0,12.167615371352035,0.09166477546373344
640.0,11.340172362411197,0.08114162413908944
660.0,10.535079669427727,0.06722940092174162
680.0,10.033723898001204,0.05940694018177156
700.0,9.950429058839797,0.056098658676227486
720.0,10.027936745405304,0.05588045983859138
740.0,9.923743138829133,0.05630347738901991
760.0,9.911930822575878,0.06093241292730532
780.0,9.954907527861291,0.07069564798015553
800.0,10.155901978046044,0.08685859289050724
820.0,10.47911316782616,0.10957923935217874
840.0,11.20971878360636,0.13879864219048443
860.0,11.777218229392917,0.1722155939898162
880.0,13.675985230915233,0.23678418104539578
900.0,15.756424875792788,0.31504385180204403
920.0,19.478958485925773,0.48859094745044707
940.0,27.090150857027357,1.3706617203080043
960.0,36.38484007256847,2.002566399608413
980.0,58.97668029010209,4.536433206468472
1000.0,92.32028938293759,11.37206093270756
1020.0,178.62725045517047,43.38354569056712
1040.0,442.18359450704776,275.35358111704875
1060.0,2510.6300679980377,10594.37562947929
1080.0,-946.1459490364905,1254.1394848939594
