Wavelengths(nm), Throughput
467.83482396622003,0.008230340289494525
468.66354901160275,0.009683777025538833
469.4922740569855,0.007549265166122315
470.3209991023682,0.009167432290897318
471.14972414775093,0.007718576822087932
471.97844919313366,0.008091328461158256
472.8071742385163,0.007469808327768161
473.63589928389905,0.00903461860770448
474.4646243292818,0.0074693430206908724
475.2933493746645,0.006888196263139466
476.1220744200472,0.00864302106070347
476.95079946542995,0.008003852285374018
477.7795245108127,0.008842549331441494
478.6082495561954,0.009105691059271451
479.43697460157813,0.007068476905932471
480.26569964696085,0.008660196047611125
481.0944246923436,0.007470892977673196
481.9231497377263,0.006580808573357337
482.75187478310903,0.006616903076574725
483.5805998284917,0.009030086332638744
484.4093248738744,0.0073142673308712715
485.23804991925715,0.009095082058526414
486.0667749646399,0.0070040943305125555
486.8955000100226,0.008337232656706262
487.7242250554053,0.00901023481112185
488.55295010078805,0.008352276893653438
489.3816751461708,0.008017309958192522
490.2104001915535,0.008500862269192534
491.03912523693623,0.00696712233386173
491.86785028231895,0.0073336390775089015
492.6965753277017,0.008100064434397317
493.5253003730844,0.008380984560199735
494.3540254184671,0.007194620715400006
495.1827504638498,0.008379692810549033
496.0114755092325,0.005663106338970753
496.84020055461525,0.007688323407853464
497.668925599998,0.007785970490459362
498.4976506453807,0.008205884922566195
499.3263756907634,0.007448653622787592
500.15510073614615,0.008039249582339958
500.9838257815289,0.006696935279827703
501.8125508269116,0.007361723326180955
502.64127587229433,0.007372558343898523
503.47000091767705,0.008641659508651249
504.2987259630598,0.007642559043801253
505.12745100844245,0.007544661249850775
505.9561760538252,0.006237385377183073
506.7849010992079,0.007060177817072426
507.6136261445906,0.006872183783292299
508.44235118997335,0.007073444699773191
509.2710762353561,0.008700232709252135
510.0998012807388,0.007711836104235465
510.9285263261215,0.007706118336370687
511.75725137150425,0.008327320532235869
512.585976416887,0.00863618210743022
513.4147014622697,0.007484030318917962
514.2434265076524,0.0074543483077335925
515.0721515530352,0.008149532892753285
515.9008765984179,0.007545701534671859
516.7296016438006,0.007672071606879591
517.5583266891833,0.008022546848664902
518.3870517345661,0.007428534600755596
519.2157767799488,0.007374077262277433
520.0445018253315,0.008236833916543018
520.8732268707142,0.0077608227675616676
521.7019519160968,0.00785560403891884
522.5306769614796,0.007565894398902895
523.3594020068623,0.006803621619574522
524.188127052245,0.008086831569998761
525.0168520976277,0.009332122648456813
525.8455771430105,0.008206578537922043
526.6743021883932,0.007761260843791177
527.5030272337759,0.008223526604589037
528.3317522791586,0.008333059186842138
529.1604773245414,0.00818095707436954
529.9892023699241,0.009224765524076384
530.8179274153068,0.009001198034340257
531.6466524606896,0.008864071731619898
532.4753775060723,0.00845650629863485
533.304102551455,0.008412032238525552
534.1328275968377,0.008383898505678895
534.9615526422205,0.008292722082019104
535.7902776876032,0.008318300908187205
536.6190027329859,0.008334011104306994
537.4477277783686,0.008017401232293334
538.2764528237514,0.009240414101327787
539.1051778691341,0.007949576213157273
539.9339029145168,0.008253552725150862
540.7626279598995,0.008214181159039975
541.5913530052823,0.008793742234720568
542.4200780506649,0.009695970185241345
543.2488030960476,0.008726123634375686
544.0775281414303,0.009417085814353129
544.906253186813,0.00952894753721487
545.7349782321958,0.00828702634347442
546.5637032775785,0.008969518023978882
547.3924283229612,0.008927354589039515
548.221153368344,0.009519705856051726
549.0498784137267,0.009031877997997194
549.8786034591094,0.009503188870118863
550.7073285044921,0.010210734991732678
551.5360535498749,0.009543807382207793
552.3647785952576,0.009789353899725418
553.1935036406403,0.009736349336980919
554.022228686023,0.010422003651309264
554.8509537314058,0.009542387495304396
555.6796787767885,0.010483349990117739
556.5084038221712,0.010828635271042449
557.3371288675539,0.009960202688928192
558.1658539129367,0.01045295238063347
558.9945789583194,0.01105581179655211
559.8233040037021,0.010715233146609934
560.6520290490848,0.011182849734681925
561.4807540944676,0.010821751089994884
562.3094791398503,0.010916672199518734
563.138204185233,0.011226093618528419
563.9669292306156,0.011889175631188804
564.7956542759983,0.010419317940519517
565.6243793213811,0.011492915980092904
566.4531043667638,0.010954784892554317
567.2818294121465,0.011666113107604792
568.1105544575292,0.012210228188795958
568.939279502912,0.010958914996073616
569.7680045482947,0.011949711437906524
570.5967295936774,0.012955639730314631
571.4254546390601,0.011849535576682993
572.2541796844429,0.013681879294188843
573.0829047298256,0.01374458215833324
573.9116297752083,0.013671104411818463
574.740354820591,0.015478669042103143
575.5690798659738,0.015590770252533519
576.3978049113565,0.013890531463923864
577.2265299567392,0.015570860709331117
578.055255002122,0.01586131544355787
578.8839800475047,0.017284344943662336
579.7127050928874,0.017027455493045567
580.5414301382701,0.018388364443632413
581.3701551836529,0.018941352964596703
582.1988802290356,0.02071764849809432
583.0276052744183,0.022526433190739544
583.856330319801,0.024436293372985425
584.6850553651838,0.026362974913679622
585.5137804105664,0.030187805045753562
586.3425054559491,0.032645172806570255
587.1712305013318,0.03674585196964487
587.9999555467145,0.041802373134194694
588.8286805920973,0.04745456863629236
589.65740563748,0.05337721670970886
590.4861306828627,0.05985105807261756
591.3148557282454,0.06903624153980552
592.1435807736282,0.07793680920380752
592.9723058190109,0.08809038710267204
593.8010308643936,0.10013907011887135
594.6297559097763,0.11377275437820705
595.4584809551591,0.1277515574161795
596.2872060005418,0.14233459489497235
597.1159310459245,0.15981317250002855
597.9446560913073,0.1772059809979249
598.77338113669,0.1952794618832379
599.6021061820727,0.21607597288373598
600.4308312274554,0.23655368930629317
601.2595562728382,0.2573707219717854
602.0882813182209,0.27960151768431185
602.9170063636036,0.30099362217014
