Wavelength (nm), Throughput (Ry/ADU), Throughput Uncertainty (Ry/ADU)
570.0,-5207.220903594009,41457.53262471674
575.0,4507.210358959747,21347.18789988053
580.0,1469.0543244328894,1847.4767476962188
585.0,563.893819927179,238.9287462541235
590.0,189.52242860777184,24.761295288578076
595.0,82.25790564136557,4.40666875302976
600.0,42.66003158015984,1.1471849046282807
605.0,26.25755579619439,0.4427180475182611
610.0,19.06372547764533,0.2426508627337864
615.0,15.488855699413085,0.1666550181621599
620.0,13.621560595309145,0.13063601586123866
625.0,12.577647087230753,0.1130335117551011
630.0,12.124674640403885,0.10296794960097219
640.0,11.32383386012434,0.09153383981053799
660.0,10.518034310309655,0.07425879507590732
680.0,10.028042884449887,0.06522119342071724
700.0,9.939529008965982,0.06164236096038329
720.0,10.022576491794437,0.061622788675672925
740.0,9.92160723251159,0.06212198284250518
760.0,9.913827656779135,0.06734987069950042
780.0,9.954118628232017,0.07737411687716167
800.0,10.145149763659134,0.09615212689306017
820.0,10.448260235440783,0.1206753311858571
840.0,11.20933493418454,0.15564122340309086
860.0,11.787199123015284,0.19195165517430796
880.0,13.621468251528764,0.2716041710928318
900.0,15.780864893999542,0.3703421588350548
920.0,19.40802037544175,0.5839636135337639
940.0,27.384279402350106,1.7349220437494897
960.0,36.2340011734835,2.515888487413167
980.0,57.9827886039122,5.662441969184356
1000.0,91.42827219788948,14.4978586363676
1020.0,194.08073543241923,66.79861289683873
1040.0,418.8280065690645,322.98787684045976
1060.0,6333.552685077785,88197.83297930262
1080.0,-701.2675866207503,901.4731648618286
